activity	        subject	        tBodyAccmeanX	        tBodyAccmeanY	        tBodyAccmeanZ	        tBodyAccstdX	        tBodyAccstdY	        tBodyAccstdZ	        tGravityAccmeanX	        tGravityAccmeanY	        tGravityAccmeanZ	        tGravityAccstdX	        tGravityAccstdY	        tGravityAccstdZ	        tBodyAccJerkmeanX	        tBodyAccJerkmeanY	        tBodyAccJerkmeanZ	        tBodyAccJerkstdX	        tBodyAccJerkstdY	        tBodyAccJerkstdZ	        tBodyGyromeanX	        tBodyGyromeanY	        tBodyGyromeanZ	        tBodyGyrostdX	        tBodyGyrostdY	        tBodyGyrostdZ	        tBodyGyroJerkmeanX	        tBodyGyroJerkmeanY	        tBodyGyroJerkmeanZ	        tBodyGyroJerkstdX	        tBodyGyroJerkstdY	        tBodyGyroJerkstdZ	        tBodyAccMagmean	        tBodyAccMagstd	        tGravityAccMagmean	        tGravityAccMagstd	        tBodyAccJerkMagmean	        tBodyAccJerkMagstd	        tBodyGyroMagmean	        tBodyGyroMagstd	        tBodyGyroJerkMagmean	        tBodyGyroJerkMagstd	        fBodyAccmeanX	        fBodyAccmeanY	        fBodyAccmeanZ	        fBodyAccstdX	        fBodyAccstdY	        fBodyAccstdZ	        fBodyAccmeanFreqX	        fBodyAccmeanFreqY	        fBodyAccmeanFreqZ	        fBodyAccJerkmeanX	        fBodyAccJerkmeanY	        fBodyAccJerkmeanZ	        fBodyAccJerkstdX	        fBodyAccJerkstdY	        fBodyAccJerkstdZ	        fBodyAccJerkmeanFreqX	        fBodyAccJerkmeanFreqY	        fBodyAccJerkmeanFreqZ	        fBodyGyromeanX	        fBodyGyromeanY	        fBodyGyromeanZ	        fBodyGyrostdX	        fBodyGyrostdY	        fBodyGyrostdZ	        fBodyGyromeanFreqX	        fBodyGyromeanFreqY	        fBodyGyromeanFreqZ	        fBodyAccMagmean	        fBodyAccMagstd	        fBodyAccMagmeanFreq	        fBodyBodyAccJerkMagmean	        fBodyBodyAccJerkMagstd	        fBodyBodyAccJerkMagmeanFreq	        fBodyBodyGyroMagmean	        fBodyBodyGyroMagstd	        fBodyBodyGyroMagmeanFreq	        fBodyBodyGyroJerkMagmean	        fBodyBodyGyroJerkMagstd	        fBodyBodyGyroJerkMagmeanFreq	        angletBodyAccMeangravity	        angletBodyAccJerkMeangravityMean	        angletBodyGyroMeangravityMean	        angletBodyGyroJerkMeangravityMean	        angleXgravityMean	        angleYgravityMean	        angleZgravityMean
WALKING_DOWNSTAIRS	         1                	        0.2721542         	        -0.01532645       	        -0.09497115       	        -0.1043889        	        -0.01024618       	        -0.1169024        	        0.9058006         	        -0.33002665       	        -0.09414634       	        -0.9570486        	        -0.9450349        	        -0.9065792        	        0.06287723        	         0.0243084682     	        -0.0161821921     	        -0.1561140        	        -0.1997182        	        -0.4760505        	         0.0079367964     	        -0.12419457       	        0.07499743        	        -0.5059273        	        -0.07223029       	        -0.2640490        	        -0.12113405       	        -0.07041645       	        -0.01691681       	        -0.5284691        	        -0.3890029        	        -0.3834010        	        -0.0140828        	        -0.1015155        	        -0.0140828        	        -0.1015155        	        -0.2197168        	        -0.1733639        	        -0.09166243       	        -0.2047495        	        -0.4057085        	        -0.4615124        	        -0.1136585        	        -0.07427828       	        -0.2964738        	        -0.1039481        	        -0.04557589       	        -0.1124522        	        -0.3455881        	         0.002303891      	        -0.035504602      	        -0.1847780        	        -0.2280885        	        -0.4342561        	        -0.2024787        	        -0.2249059        	        -0.5160960        	        -0.3063325608     	        -0.37879963       	        -0.206245576      	        -0.4235776        	        -0.1864054        	        -0.1789119        	        -0.5355301        	        -0.03394267       	        -0.3626654        	        -0.167386887      	        -0.13868736       	        -0.0690434726     	        -0.06760317       	        -0.2643499        	         0.062278713      	        -0.1197019        	        -0.2542989        	        0.06674809        	        -0.2483371        	        -0.3247067        	         0.157159054      	        -0.4359654        	        -0.5375596        	         0.215462240      	         9.802919e-02     	         0.031511549      	        -0.0282901396     	         0.024723038      	        -0.6742828        	         0.311830267      	         0.087231760      
WALKING_UPSTAIRS  	         1                	        0.2651301         	        -0.01855901       	        -0.10897579       	        -0.5845395        	        -0.39909290       	        -0.5365041        	        0.7307416         	        -0.06083472       	         0.08695308       	        -0.9601062        	        -0.9516874        	        -0.9275062        	        0.07834083        	         0.0159134349     	        -0.0084866189     	        -0.5570762        	        -0.4941724        	        -0.7384997        	        -0.0234054650     	        -0.08490166       	        0.08725310        	        -0.7024103        	        -0.48422428       	        -0.6267642        	        -0.09500350       	        -0.03919736       	        -0.04979217       	        -0.6474102        	        -0.6560181        	        -0.6892733        	        -0.4922141        	        -0.5318182        	        -0.4922141        	        -0.5318182        	        -0.5740210        	        -0.5459900        	        -0.50908750       	        -0.5257409        	        -0.6600398        	        -0.6687751        	        -0.5686056        	        -0.43559031       	        -0.6227380        	        -0.5924812        	        -0.42039577       	        -0.5324755        	        -0.1660734        	         0.062485302      	         0.066608991      	        -0.5791733        	        -0.5318550        	        -0.7182185        	        -0.5739548        	        -0.4874356        	        -0.7573273        	        -0.0261959101     	        -0.20092626       	        -0.086812377      	        -0.6407426        	        -0.5333010        	        -0.5864108        	        -0.7234250        	        -0.46457420       	        -0.6757385        	        -0.020151767      	        -0.08589154       	        -0.0135266508     	        -0.51451018       	        -0.6182685        	         0.149065099      	        -0.5323750        	        -0.5670603        	        0.21175612        	        -0.5601646        	        -0.5878066        	         0.056835686      	        -0.6644037        	        -0.6988239        	         0.196501616      	         3.230425e-02     	         0.007043764      	        -0.0121484543     	        -0.003943504      	        -0.5236162        	         0.106197397      	        -0.050165857      
WALKING           	         2                	        0.2731131         	        -0.01913232       	        -0.11564996       	        -0.6055865        	        -0.42896299       	        -0.5893601        	        0.6607829         	        -0.14721989       	         0.13486534       	        -0.9630155        	        -0.9600336        	        -0.9453654        	        0.07853532        	         0.0070877125     	         0.0007557607     	        -0.5578096        	        -0.4918759        	        -0.7418854        	        -0.0517030658     	        -0.05684202       	        0.08725994        	        -0.7106489        	        -0.72294367       	        -0.6348889        	        -0.08755875       	        -0.04339868       	        -0.05575418       	        -0.6716791        	        -0.7835955        	        -0.6746119        	        -0.5352818        	        -0.5528125        	        -0.5352818        	        -0.5528125        	        -0.5877774        	        -0.5121153        	        -0.61477105       	        -0.6805849        	        -0.7465595        	        -0.7400887        	        -0.5737709        	        -0.43256658       	        -0.6300812        	        -0.6197881        	        -0.46472386       	        -0.6006786        	        -0.1067634        	         0.105734176      	         0.087210586      	        -0.5616820        	        -0.5089038        	        -0.7157453        	        -0.5951056        	        -0.5091475        	        -0.7670870        	         0.0868000536     	        -0.13977660       	        -0.094265187      	        -0.6387177        	        -0.7220690        	        -0.6015949        	        -0.7345885        	        -0.72716774       	        -0.6831145        	        -0.005765006      	        -0.07021550       	         0.0513627291     	        -0.51456986       	        -0.6466623        	         0.192199738      	        -0.5097464        	        -0.5188008        	        0.19306682        	        -0.6997429        	        -0.7253103        	         0.047132481      	        -0.7516151        	        -0.7441950        	         0.124612069      	         9.871767e-03     	         0.014044576      	         0.0745850524     	        -0.037292798      	        -0.4344867        	         0.172286841      	        -0.078865459      
WALKING_DOWNSTAIRS	         3                	        0.2734287         	        -0.01785607       	        -0.10649263       	        -0.6234136        	        -0.48001592       	        -0.6536256        	        0.7078144         	        -0.02605905       	         0.04809379       	        -0.9664576        	        -0.9445645        	        -0.9269663        	        0.07017313        	         0.0144664329     	        -0.0005268189     	        -0.6354847        	        -0.5572119        	        -0.7960662        	        -0.0248490683     	        -0.07435653       	        0.08668755        	        -0.6992622        	        -0.76302218       	        -0.7094834        	        -0.09915546       	        -0.04019239       	        -0.05211783       	        -0.6893284        	        -0.8426599        	        -0.7430285        	        -0.5631408        	        -0.5912248        	        -0.5631408        	        -0.5912248        	        -0.6501824        	        -0.6076582        	        -0.64315012       	        -0.6740103        	        -0.7840567        	        -0.8036614        	        -0.6257333        	        -0.50177994       	        -0.6996568        	        -0.6238050        	        -0.50275364       	        -0.6574438        	        -0.1928173        	         0.038928252      	         0.004472614      	        -0.6458935        	        -0.5829499        	        -0.7801016        	        -0.6578441        	        -0.5598512        	        -0.8108060        	        -0.0476941200     	        -0.23687424       	        -0.193657539      	        -0.6420977        	        -0.7751450        	        -0.6707347        	        -0.7192766        	        -0.75850529       	        -0.7510089        	        -0.102568068      	        -0.16767503       	        -0.0321862688     	        -0.57907645       	        -0.6630798        	         0.077066559      	        -0.6047521        	        -0.6156437        	        0.11231984        	        -0.7168221        	        -0.7038394        	        -0.084607523      	        -0.8100855        	        -0.8100327        	         0.059962873      	         1.409439e-02     	         0.013450019      	         0.0359008263     	        -0.019207475      	        -0.5033234        	         0.075626284      	        -0.017490151      
WALKING           	         4                	        0.2741831         	        -0.01480815       	        -0.10752143       	        -0.6052117        	        -0.50992938       	        -0.7094927        	        0.7065930         	         0.11259120       	         0.16413090       	        -0.9626370        	        -0.9414168        	        -0.9414034        	        0.07886378        	         0.0035134095     	        -0.0073737514     	        -0.6318531        	        -0.5840632        	        -0.8433532        	        -0.0289417907     	        -0.07872299       	        0.09571749        	        -0.7013977        	        -0.79823575       	        -0.7263742        	        -0.10785932       	        -0.04004276       	        -0.05780893       	        -0.7237886        	        -0.9025026        	        -0.7483691        	        -0.5615821        	        -0.6065560        	        -0.5615821        	        -0.6065560        	        -0.6561163        	        -0.6472500        	        -0.65629109       	        -0.7067385        	        -0.8191914        	        -0.8441871        	        -0.6288064        	        -0.52583457       	        -0.7552354        	        -0.5975513        	        -0.53466152       	        -0.7087640        	        -0.1845186        	         0.084770754      	        -0.016409686      	        -0.6520231        	        -0.6016962        	        -0.8251549        	        -0.6446220        	        -0.5938552        	        -0.8605447        	        -0.0005439918     	        -0.18058411       	        -0.110565549      	        -0.6418820        	        -0.8315275        	        -0.6893089        	        -0.7217492        	        -0.78288574       	        -0.7670896        	        -0.118518212      	        -0.37533254       	         0.0241889403     	        -0.60209804       	        -0.6729483        	         0.096363669      	        -0.6350190        	        -0.6665067        	        0.16047988        	        -0.7456508        	        -0.7325863        	        -0.129301517      	        -0.8388332        	        -0.8630969        	         0.159075728      	         8.033304e-03     	        -0.011144754      	         0.0270807734     	         0.011777830      	        -0.5765440        	        -0.032362746      	        -0.095462421      
WALKING_DOWNSTAIRS	         5                	        0.2791780         	        -0.01548335       	        -0.10566174       	        -0.5076910        	        -0.40272491       	        -0.6464436        	        0.6981537         	         0.11231311       	         0.09216072       	        -0.9646291        	        -0.9399738        	        -0.9420787        	        0.08410199        	         0.0017656830     	        -0.0029537113     	        -0.5758905        	        -0.5065444        	        -0.7845620        	        -0.0294516874     	        -0.07743164       	        0.08662671        	        -0.7099557        	        -0.70563831       	        -0.6065898        	        -0.10352288       	        -0.04906245       	        -0.05062582       	        -0.6625813        	        -0.7741143        	        -0.5646808        	        -0.4608664        	        -0.5216235        	        -0.4608664        	        -0.5216235        	        -0.5893139        	        -0.5890313        	        -0.60277028       	        -0.6640784        	        -0.7073835        	        -0.7341875        	        -0.5512377        	        -0.44023243       	        -0.6961718        	        -0.4928299        	        -0.42216217       	        -0.6493512        	        -0.2263707        	         0.074863686      	         0.006266318      	        -0.6047699        	        -0.5509920        	        -0.7687624        	        -0.5840136        	        -0.4915004        	        -0.7988356        	        -0.1029208450     	        -0.27429092       	        -0.163706246      	        -0.6322393        	        -0.7170622        	        -0.5373291        	        -0.7357386        	        -0.70229039       	        -0.6693537        	        -0.038164699      	        -0.07206660       	         0.0744028988     	        -0.52850302       	        -0.5942595        	         0.078145559      	        -0.5731762        	        -0.6134851        	        0.13161930        	        -0.6773558        	        -0.7157311        	         0.062219114      	        -0.7488293        	        -0.7356106        	         0.030756456      	        -9.112138e-03     	        -0.015216612      	        -0.0095313017     	        -0.023395255      	        -0.5981208        	        -0.037872791      	        -0.044081873      
WALKING_DOWNSTAIRS	         6                	        0.2723766         	        -0.01756970       	        -0.11599454       	        -0.5050861        	        -0.36840367       	        -0.6725120        	        0.6887021         	         0.01620555       	         0.04752000       	        -0.9588987        	        -0.9509349        	        -0.9379102        	        0.08138336        	         0.0004792811     	        -0.0022589630     	        -0.5314683        	        -0.4544375        	        -0.7389552        	        -0.0433611785     	        -0.07061291       	        0.09731303        	        -0.6538007        	        -0.62625207       	        -0.5999102        	        -0.08291600       	        -0.04549210       	        -0.05336103       	        -0.5460100        	        -0.6776360        	        -0.5269083        	        -0.4647700        	        -0.4837906        	        -0.4647700        	        -0.4837906        	        -0.5514137        	        -0.5029351        	        -0.54949485       	        -0.5798378        	        -0.6219362        	        -0.6444745        	        -0.5061749        	        -0.39204141       	        -0.6837259        	        -0.5066803        	        -0.39667779       	        -0.6943652        	        -0.1915371        	         0.059011488      	         0.113046089      	        -0.5493943        	        -0.5035590        	        -0.7208672        	        -0.5553462        	        -0.4378375        	        -0.7557511        	        -0.0956140260     	        -0.30542267       	        -0.100682391      	        -0.5372014        	        -0.6211887        	        -0.5076042        	        -0.6928624        	        -0.63323623       	        -0.6730203        	         0.028908719      	        -0.04279002       	         0.1010447836     	        -0.47397492       	        -0.5709103        	         0.102346682      	        -0.4948823        	        -0.5167113        	        0.08311655        	        -0.5791301        	        -0.6573687        	         0.104193398      	        -0.6518869        	        -0.6601759        	         0.081817623      	        -1.383305e-02     	        -0.003481667      	         0.0923274191     	        -0.062347388      	        -0.5286579        	         0.019733544      	        -0.012552402      
WALKING_DOWNSTAIRS	         7                	        0.2702117         	        -0.01879049       	        -0.11249238       	        -0.5775183        	        -0.54640337       	        -0.4564736        	        0.6812891         	        -0.04202215       	         0.03421607       	        -0.9565382        	        -0.9553126        	        -0.9233047        	        0.08318296        	         0.0076090977     	        -0.0079172570     	        -0.6151314        	        -0.6229974        	        -0.6643369        	        -0.0518716929     	        -0.06460771       	        0.09776717        	        -0.6871555        	        -0.65240866       	        -0.6633408        	        -0.09420374       	        -0.04144014       	        -0.06103079       	        -0.7017312        	        -0.6749201        	        -0.7508087        	        -0.5113120        	        -0.5106699        	        -0.5113120        	        -0.5106699        	        -0.6228158        	        -0.5505602        	        -0.58189990       	        -0.5986708        	        -0.7131913        	        -0.6580178        	        -0.5930113        	        -0.56354779       	        -0.5310059        	        -0.5723475        	        -0.56704698       	        -0.4607921        	        -0.3117905        	        -0.030071330      	         0.014662085      	        -0.6375219        	        -0.6416873        	        -0.6425157        	        -0.6267857        	        -0.6285316        	        -0.6848564        	        -0.1197843002     	        -0.23950171       	        -0.220260861      	        -0.6437676        	        -0.6304193        	        -0.6550834        	        -0.7038836        	        -0.67116192       	        -0.6989495        	        -0.134491773      	        -0.10388451       	        -0.0863412385     	        -0.51832388       	        -0.5838198        	        -0.010687375      	        -0.5533600        	        -0.5506833        	        0.10869573        	        -0.6288773        	        -0.6509236        	        -0.035227633      	        -0.6688792        	        -0.6689634        	         0.063192044      	         2.690128e-03     	        -0.010142733      	         0.0421957283     	        -0.023012418      	        -0.5256833        	         0.108786539      	        -0.033426188      
SITTING           	         8                	        0.2655566         	        -0.02034676       	        -0.10508398       	        -0.5026995        	        -0.24299401       	        -0.3632168        	        0.6680930         	        -0.05201503       	         0.03314239       	        -0.9429883        	        -0.9443104        	        -0.9061083        	        0.09176854        	        -0.0009873076     	        -0.0259521866     	        -0.4903359        	        -0.3808922        	        -0.5864575        	         0.0247383647     	        -0.10374670       	        0.05399351        	        -0.6244931        	        -0.49102445       	        -0.3807332        	        -0.10548028       	        -0.04322485       	        -0.05693143       	        -0.6503027        	        -0.6216615        	        -0.6352241        	        -0.3606427        	        -0.4781545        	        -0.3606427        	        -0.4781545        	        -0.4432337        	        -0.4883113        	        -0.38408975       	        -0.5148216        	        -0.6200147        	        -0.6665493        	        -0.5044456        	        -0.27386030       	        -0.4372752        	        -0.5047533        	        -0.27674116       	        -0.3764497        	        -0.2671297        	        -0.002937216      	         0.065425414      	        -0.5099452        	        -0.4158292        	        -0.5572093        	        -0.5167778        	        -0.3868746        	        -0.6151021        	        -0.0238383915     	        -0.20115537       	        -0.123552519      	        -0.5639255        	        -0.4903275        	        -0.4058337        	        -0.6456524        	        -0.49753630       	        -0.4326923        	        -0.145670785      	        -0.17610353       	        -0.0679783688     	        -0.42711133       	        -0.5938421        	         0.123912840      	        -0.4421040        	        -0.5588106        	        0.27710510        	        -0.5494776        	        -0.5782232        	        -0.043638671      	        -0.6500177        	        -0.7140535        	         0.224033151      	         4.834051e-02     	        -0.067479635      	        -0.0605150909     	        -0.018474229      	        -0.4795734        	         0.117893096      	        -0.033614354      
WALKING_DOWNSTAIRS	         8                	        0.2798889         	        -0.01440371       	        -0.10983795       	        -0.7238061        	        -0.53608727       	        -0.7385883        	        0.6113564         	         0.17481297       	         0.17229759       	        -0.9740315        	        -0.9557048        	        -0.9531411        	        0.07096133        	         0.0041026745     	        -0.0086508643     	        -0.7263129        	        -0.5953137        	        -0.8120819        	        -0.0335218220     	        -0.06884432       	        0.08179943        	        -0.7118955        	        -0.71118737       	        -0.7406856        	        -0.10407411       	        -0.03459477       	        -0.06067061       	        -0.7182985        	        -0.7908826        	        -0.8025740        	        -0.6578412        	        -0.6872087        	        -0.6578412        	        -0.6872087        	        -0.6939709        	        -0.6981266        	        -0.63788563       	        -0.6983016        	        -0.7677073        	        -0.8023358        	        -0.7176360        	        -0.55233664       	        -0.7505192        	        -0.7267713        	        -0.55750781       	        -0.7532008        	        -0.1263337        	         0.077690413      	         0.136969623      	        -0.7349926        	        -0.6364335        	        -0.7970966        	        -0.7420419        	        -0.5783232        	        -0.8255182        	         0.1003307380     	        -0.11274011       	        -0.010756065      	        -0.6671157        	        -0.7261774        	        -0.7356760        	        -0.7272608        	        -0.70567188       	        -0.7667966        	        -0.066968769      	        -0.11487904       	         0.0007632897     	        -0.66126550       	        -0.7530643        	         0.186252413      	        -0.6821687        	        -0.7219471        	        0.26174314        	        -0.7161677        	        -0.7392492        	         0.012601325      	        -0.7936543        	        -0.8288331        	         0.223249498      	        -1.843550e-02     	        -0.004933491      	        -0.0195805679     	        -0.006834814      	        -0.4367738        	        -0.077531230      	        -0.105322863      
